Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
392,Mason Plumlee,C,53,900,19.1,0.615,0.016,0.556,11.0,23.9,17.4,20.0,1.6,3.4,18.9,18.4,1.7,1.3,3.0,0.162,0.2,2.0,2.2,1.0,5
393,Jakob Poeltl,C,58,965,19.6,0.611,0.0,0.33899999999999997,11.6,23.0,17.3,14.6,1.5,7.7,15.2,13.3,2.0,1.3,3.3,0.165,0.8,2.3,3.1,1.2,3
394,Vincent Poirier,C,21,114,12.8,0.54,0.061,0.212,9.5,22.4,16.0,8.6,0.8,4.9,14.3,15.8,0.1,0.2,0.3,0.124,-4.5,0.7,-3.8,-0.1,5
396,Jordan Poole,SG,57,1274,7.2,0.45399999999999996,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5,8
397,Kevin Porter Jr.,SF,50,1162,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.011000000000000001,-3.2,-0.6,-3.7,-0.5,1
398,Michael Porter Jr.,PF,48,670,18.5,0.589,0.358,0.151,8.8,24.3,16.5,8.0,1.5,2.6,10.3,22.0,1.0,0.9,2.0,0.141,1.4,-0.7,0.8,0.5,0
400,Bobby Portis,C,66,1393,14.6,0.53,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,0.064,0.1,-1.1,-1.0,0.3,6
401,Kristaps Porziņģis,PF,51,1597,19.3,0.54,0.447,0.282,5.9,25.3,15.8,8.6,1.1,5.6,8.5,26.6,1.7,2.6,4.3,0.129,1.2,0.3,1.5,1.4,0
402,Dwight Powell,C,40,1061,16.0,0.677,0.17,0.485,7.5,14.7,11.2,7.7,1.6,1.8,11.5,12.7,2.6,1.1,3.7,0.16899999999999998,0.4,1.0,1.4,0.9,6
403,Norman Powell,SG,44,1269,17.4,0.629,0.457,0.252,2.0,11.2,6.7,9.7,2.1,1.3,10.0,21.5,2.2,1.9,4.2,0.157,1.4,0.9,2.3,1.4,8
